field1,field2,field3,field4,field5,field5
5.0,3.4,1.5,0.2,Iris-setosa,Iris-setosa
4.8,3.4,1.6,0.2,Iris-setosa,Iris-setosa
5.1,3.7,1.5,0.4,Iris-setosa,Iris-setosa
4.7,3.2,1.6,0.2,Iris-setosa,Iris-setosa
5.4,3.4,1.5,0.4,Iris-setosa,Iris-setosa
5.0,3.2,1.2,0.2,Iris-setosa,Iris-setosa
4.5,2.3,1.3,0.3,Iris-setosa,Iris-setosa
4.4,3.2,1.3,0.2,Iris-setosa,Iris-setosa
5.0,3.5,1.6,0.6,Iris-setosa,Iris-virginica
4.8,3.0,1.4,0.3,Iris-setosa,Iris-setosa
5.3,3.7,1.5,0.2,Iris-setosa,Iris-setosa
6.4,3.2,4.5,1.5,Iris-versicolor,Iris-versicolor
5.5,2.3,4.0,1.3,Iris-versicolor,Iris-versicolor
5.0,2.0,3.5,1.0,Iris-versicolor,Iris-versicolor
5.9,3.0,4.2,1.5,Iris-versicolor,Iris-versicolor
6.0,2.2,4.0,1.0,Iris-versicolor,Iris-versicolor
5.7,2.6,3.5,1.0,Iris-versicolor,Iris-versicolor
5.5,2.4,3.7,1.0,Iris-versicolor,Iris-versicolor
5.6,3.0,4.1,1.3,Iris-versicolor,Iris-versicolor
5.5,2.5,4.0,1.3,Iris-versicolor,Iris-versicolor
5.8,2.6,4.0,1.2,Iris-versicolor,Iris-versicolor
5.1,2.5,3.0,1.1,Iris-versicolor,Iris-versicolor
4.9,2.5,4.5,1.7,Iris-virginica,Iris-versicolor
7.2,3.6,6.1,2.5,Iris-virginica,Iris-virginica
6.4,3.2,5.3,2.3,Iris-virginica,Iris-virginica
7.4,2.8,6.1,1.9,Iris-virginica,Iris-virginica
6.3,2.8,5.1,1.5,Iris-virginica,Iris-versicolor
6.0,3.0,4.8,1.8,Iris-virginica,Iris-virginica
6.9,3.1,5.4,2.1,Iris-virginica,Iris-virginica
6.7,3.0,5.2,2.3,Iris-virginica,Iris-virginica
